"統一編號","公司名稱","負責人","公司地址","資本總額","實收資本額","在境內營運資金","公司狀態","產製日期"
"04884600","凱達塑膠股份有限公司","高O輝","臺北市文山區木新路3段155巷4弄12號","7000000","7000000"," ","核准設立","20250901035733"
"04902614","倬立醫材興業股份有限公司","李O真","臺北市南港區南港路3段130巷5弄4號1樓","1000000","1000000"," ","核准設立","20250901035733"
"04904459","珅億金屬有限公司","吳O華","新北市新店區雙城路60巷30之2號","13000000"," "," ","核准設立","20250901035733"
"04920649","世福工業股份有限公司","鄭O征","臺北市中山區復興北路168號12樓","50000000","50000000"," ","核准設立","20250901035733"
"05058466","永信橡膠工業有限公司","何O軒","新竹縣新豐鄉山崎村鳳蓮街10號","1000000"," "," ","核准設立","20250901035733"
"05076204","統友貿易股份有限公司","洪O宗","臺北市士林區德行西路37號5樓","72000000","72000000"," ","核准設立","20250901035733"
"05257465","連晟工業有限公司","連O銘","新北市五股區工商路18巷23弄30號","6000000"," "," ","核准設立","20250901035733"
"05259392","三阪實業股份有限公司","林O一","臺北市中山區民生東路1段51號11樓之2","56000000","56000000"," ","核准設立","20250901035733"
"05422850","薇閣實業股份有限公司","梁O文","新北市三重區成功路104巷16號9樓","5000000","5000000"," ","核准設立","20250901035733"
"05424891","鍵鴻企業有限公司","黃O瓊","新北市樹林區八德街436巷6弄1號","5000000"," "," ","核准設立","20250901035733"
"05513303","岡原貿易股份有限公司","蘇O華","臺北市中山區南京東路2段206號12樓之1","10000000","7000000"," ","核准設立","20250901035733"
"05595395","昇泰起重機械股份有限公司","許O雪娥","臺中市西屯區林厝里福林路550號3樓","7900000","7900000"," ","核准設立","20250901035733"
"05630479","龍煜實業有限公司","","臺北市中正區金門街34巷9號1樓","5000000"," "," ","解散","20250901035733"
"05632737","東鵰股份有限公司","李O琛","新北市林口區文化三路1段486號13樓之2","8400000","8400000"," ","核准設立","20250901035733"
"05637249","無名股份有限公司","林O集","新北市林口區工九路20號1樓","28000000","28000000"," ","核准設立","20250901035733"
"05697941","大豐包裝材料有限公司","江O鈺","臺中市豐原區鐮村里鐮村路165號","10000000"," "," ","核准設立","20250901035733"
"05751114","藝昌實業股份有限公司","張O盛","臺中市豐原區南村里水源路389之5號","15000000","15000000"," ","核准設立","20250901035733"
"05793249","楹祥工業有限公司","蔣O隆","臺中市龍井區海尾路226巷7號","5000000"," "," ","核准設立","20250901035733"
"05837730","介大保利龍實業股份有限公司","曾O煌","臺中市霧峰區五福里五福路559號","10000000","10000000"," ","核准設立","20250901035733"
"05917277","志發塑膠企業廠股份有限公司","蒲O靜","彰化縣鹿港鎮洋厝里鹿草路3段403巷16之1號","20000000","20000000"," ","核准設立","20250901035733"
"06032367","壯鋼機械股份有限公司","郭O華","臺中市西屯區工業區12路4號","50000000","50000000"," ","核准設立","20250901035733"
"06082149","乙富塑膠工業股份有限公司","","南投縣南投市振興里南鄉路三五之三號","8000000","8000000"," ","廢止","20250901035733"
"06131296","漢簾工業有限公司","林O會","南投縣竹山鎮延平里延平六路5號","80016800"," "," ","核准設立","20250901035733"
"06586710","巨鋼企業股份有限公司","洪O明","臺南市安南區佃東里安新五路313號","60000000","60000000"," ","核准設立","20250901035733"
"06667494","鑫御實業有限公司","黃O宏","高雄市前鎮區實業路176號","20000000"," "," ","核准設立","20250901035733"
